customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,Contract_Month-to-month,Contract_One year,Contract_Two year,InternetService_DSL,InternetService_Fiber optic,InternetService_No,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_group,avg_monthly_spend,num_services,charge_per_service,high_monthly_charges,LTV,engagement_score,value_segment,heuristic_risk,churn_probability,churn_prediction,risk_level
7590-VHVEG,0,0,1,0,1,0,0,0,1,0,0,0,0,1,29.85,29.85,0,1,0,0,1,0,0,0,0,1,0,New,29.85,1,29.85,0,29.85,1,Low Value,High Risk,0.6239024,1,Medium Risk
5575-GNVDE,1,0,0,0,34,1,0,1,0,1,0,0,0,0,56.95,1889.5,0,0,1,0,1,0,0,0,0,0,1,Mature,55.5735294117647,3,18.98333333333333,0,1936.3,3,High Value,Low Risk,0.016804002,0,Low Risk
3668-QPYBK,1,0,0,0,2,1,0,1,1,0,0,0,0,1,53.85,108.15,1,1,0,0,1,0,0,0,0,0,1,New,54.075,3,17.95,0,107.7,3,Low Value,High Risk,0.37699458,1,Low Risk
7795-CFOCW,1,0,0,0,45,0,0,1,0,1,1,0,0,0,42.3,1840.75,0,0,1,0,1,0,0,1,0,0,0,Mature,40.90555555555556,3,14.1,0,1903.5,3,High Value,Low Risk,0.01647166,0,Low Risk
9237-HQITU,0,0,0,0,2,1,0,0,0,0,0,0,0,1,70.7,151.65,1,1,0,0,0,1,0,0,0,1,0,New,75.825,1,70.7,1,141.4,1,Low Value,High Risk,0.7849266,1,High Risk
9305-CDSKC,0,0,0,0,8,1,1,0,0,1,0,1,1,1,99.65,820.5,1,1,0,0,0,1,0,0,0,1,0,New,102.5625,5,19.93,1,797.2,5,Low Value,High Risk,0.9514516,1,High Risk
1452-KIOVK,1,0,0,1,22,1,1,0,1,0,0,1,0,1,89.1,1949.4,0,1,0,0,0,1,0,0,1,0,0,Developing,88.60909090909091,4,22.275,1,1960.2,4,High Value,High Risk,0.3579713,1,Low Risk
6713-OKOMC,0,0,0,0,10,0,0,1,0,0,0,0,0,0,29.75,301.9,0,1,0,0,1,0,0,0,0,0,1,New,30.19,1,29.75,0,297.5,1,Low Value,High Risk,0.16977113,0,Low Risk
7892-POOKP,0,0,1,0,28,1,1,0,0,1,1,1,1,1,104.8,3046.05,1,1,0,0,0,1,0,0,0,1,0,Mature,108.7875,6,17.466666666666665,1,2934.4,6,High Value,High Risk,0.7353928,1,High Risk
6388-TABGU,1,0,0,1,62,1,0,1,1,0,0,0,0,0,56.15,3487.95,0,0,1,0,1,0,0,1,0,0,0,Loyal,56.25725806451613,3,18.716666666666665,0,3481.3,3,High Value,Low Risk,0.014719828,0,Low Risk
9763-GRSKD,1,0,1,1,13,1,0,1,0,0,0,0,0,1,49.95,587.45,0,1,0,0,1,0,0,0,0,0,1,Developing,45.18846153846154,2,24.975,0,649.35,2,Low Value,Medium Risk,0.08352604,0,Low Risk
7469-LKBCI,1,0,0,0,16,1,0,0,0,0,0,0,0,0,18.95,326.8,0,0,0,1,0,0,1,0,1,0,0,Developing,20.425,1,18.95,0,303.2,1,Low Value,Low Risk,0.00720702,0,Low Risk
8091-TTVAX,1,0,1,0,58,1,1,0,0,1,0,1,1,0,100.35,5681.1,0,0,1,0,0,1,0,0,1,0,0,Loyal,97.95,5,20.07,1,5820.299999999999,5,High Value,Low Risk,0.15076122,0,Low Risk
0280-XJGEX,1,0,0,0,49,1,1,0,1,1,0,1,1,1,103.7,5036.3,1,1,0,0,0,1,0,1,0,0,0,Loyal,102.78163265306122,6,17.283333333333335,1,5081.3,6,High Value,High Risk,0.661651,1,Medium Risk
5129-JLPIS,1,0,0,0,25,1,0,1,0,1,1,1,1,1,105.5,2686.05,0,1,0,0,0,1,0,0,0,1,0,Mature,107.442,6,17.583333333333332,1,2637.5,6,High Value,High Risk,0.7751646,1,High Risk
3655-SNQYZ,0,0,1,1,69,1,1,1,1,1,1,1,1,0,113.25,7895.15,0,0,0,1,0,1,0,0,1,0,0,Loyal,114.42246376811592,8,14.15625,1,7814.25,8,High Value,Low Risk,0.041359983,0,Low Risk
8191-XWSZG,0,0,0,0,52,1,0,0,0,0,0,0,0,0,20.65,1022.95,0,0,1,0,0,0,1,0,0,0,1,Loyal,19.672115384615385,1,20.65,0,1073.8,1,Low Value,Low Risk,0.0140630985,0,Low Risk
9959-WOFKT,1,0,0,1,71,1,1,1,0,1,0,1,1,0,106.7,7382.25,0,0,0,1,0,1,0,1,0,0,0,Loyal,103.97535211267606,6,17.783333333333335,1,7575.7,6,High Value,Low Risk,0.06215475,0,Low Risk
4190-MFLUW,0,0,1,1,10,1,0,0,0,1,1,0,0,0,55.2,528.35,1,1,0,0,1,0,0,0,1,0,0,New,52.835,3,18.4,0,552.0,3,Low Value,High Risk,0.21601053,0,Low Risk
4183-MYFRB,0,0,0,0,21,1,0,0,1,1,0,0,1,1,90.05,1862.9,0,1,0,0,0,1,0,0,0,1,0,Developing,88.70952380952382,4,22.5125,1,1891.05,4,High Value,High Risk,0.5603804,1,Medium Risk
8779-QRDMV,1,1,0,0,1,0,0,0,0,1,0,0,1,1,39.65,39.65,1,1,0,0,1,0,0,0,0,1,0,New,39.65,2,19.825,0,39.65,2,Low Value,High Risk,0.9040626,1,High Risk
1680-VDCWW,1,0,1,0,12,1,0,0,0,0,0,0,0,0,19.8,202.25,0,0,1,0,0,0,1,1,0,0,0,New,16.854166666666668,1,19.8,0,237.6,1,Low Value,Low Risk,0.050332148,0,Low Risk
1066-JKSGK,1,0,0,0,1,1,0,0,0,0,0,0,0,0,20.15,20.15,1,1,0,0,0,0,1,0,0,0,1,New,20.15,1,20.15,0,20.15,1,Low Value,High Risk,0.7726753,1,High Risk
3638-WEABW,0,0,1,0,58,1,1,0,1,0,1,0,0,1,59.9,3505.1,0,0,0,1,1,0,0,0,1,0,0,Loyal,60.43275862068965,4,14.975,0,3474.2,4,High Value,Low Risk,0.05666861,0,Low Risk
